Date,Close,High,Low,Open,Volume
2023-08-31,19253.8,19388.2,19223.65,19375.55,562600
2023-09-01,19435.3,19458.55,19255.7,19258.15,333000
2023-09-04,19528.8,19545.15,19432.85,19525.05,296800
2023-09-05,19574.9,19587.05,19525.75,19564.65,256800
2023-09-06,19611.05,19636.45,19491.5,19581.2,287600
2023-09-07,19727.05,19737.0,19550.05,19598.65,304900
2023-09-08,19819.95,19867.15,19727.05,19774.8,288100
2023-09-11,19996.35,20008.15,19865.35,19890.0,248800
2023-09-12,19993.2,20110.35,19914.65,20110.15,328100
2023-09-13,20070.0,20096.9,19944.1,19989.5,251400
2023-09-14,20103.1,20167.65,20043.45,20127.95,275100
2023-09-15,20192.35,20222.45,20129.7,20156.45,438200
2023-09-18,20133.3,20195.35,20115.7,20155.95,264900
2023-09-20,19901.4,20050.65,19878.85,19980.75,378100
2023-09-21,19742.35,19848.75,19709.95,19840.55,275100
2023-09-22,19674.25,19798.65,19657.5,19744.85,246400
2023-09-25,19674.55,19734.15,19601.55,19678.2,188400
2023-09-26,19664.7,19699.35,19637.45,19682.8,204900
2023-09-27,19716.45,19730.7,19554.0,19637.05,203600
2023-09-28,19523.55,19766.65,19492.1,19761.8,352800
2023-09-29,19638.3,19726.25,19551.05,19581.2,243500
2023-10-03,19528.75,19623.2,19479.65,19622.4,221700
2023-10-04,19436.1,19457.8,19333.6,19446.3,277100
2023-10-05,19545.75,19576.95,19487.3,19521.85,234900
2023-10-06,19653.5,19675.75,19589.4,19621.2,159100
2023-10-09,19512.35,19588.95,19480.5,19539.45,165100
2023-10-10,19689.85,19717.8,19565.45,19565.6,216600
2023-10-11,19811.35,19839.2,19756.95,19767.0,213700
2023-10-12,19794.0,19843.3,19772.65,19822.7,217900
2023-10-13,19751.05,19805.4,19635.3,19654.55,255000
2023-10-16,19731.75,19781.3,19691.85,19737.25,181000
2023-10-17,19811.5,19849.75,19775.65,19843.2,185800
2023-10-18,19671.1,19840.95,19659.95,19820.45,198900
2023-10-19,19624.7,19681.8,19512.35,19545.2,230300
2023-10-20,19542.65,19593.8,19518.7,19542.15,198300
2023-10-23,19281.75,19556.85,19257.85,19521.6,176000
2023-10-25,19122.15,19347.3,19074.15,19286.45,225300
2023-10-26,18857.25,19041.7,18837.85,19027.25,300400
2023-10-27,19047.25,19076.15,18926.65,18928.75,205200
2023-10-30,19140.9,19158.5,18940.0,19053.4,180100
2023-10-31,19079.6,19233.7,19056.45,19232.95,206000
2023-11-01,18989.15,19096.05,18973.7,19064.05,194100
2023-11-02,19133.25,19175.25,19064.15,19120.0,245600
2023-11-03,19230.6,19276.25,19210.9,19241.0,189500
2023-11-06,19411.75,19423.0,19309.7,19345.85,180700
2023-11-07,19406.7,19423.5,19329.1,19404.05,198700
2023-11-08,19443.5,19464.4,19401.5,19449.6,195000
2023-11-09,19395.3,19463.9,19378.35,19457.4,208400
2023-11-10,19425.35,19451.3,19329.45,19351.85,152200
2023-11-13,19443.55,19494.4,19414.75,19486.75,189300
2023-11-15,19675.45,19693.2,19579.65,19651.4,291500
2023-11-16,19765.2,19875.25,19627.0,19674.7,282700
2023-11-17,19731.8,19806.0,19667.45,19674.75,236800
2023-11-20,19694.0,19756.45,19670.5,19731.15,173800
2023-11-21,19783.4,19829.1,19754.05,19770.9,195000
2023-11-22,19811.85,19825.55,19703.85,19784.0,184500
2023-11-23,19802.0,19875.15,19786.75,19828.45,170000
2023-11-24,19794.7,19832.85,19768.85,19809.6,145900
2023-11-28,19889.7,19916.85,19800.0,19844.65,229600
2023-11-29,20096.6,20104.65,19956.3,19976.55,236200
2023-11-30,20133.15,20158.7,20015.85,20108.5,486600
2023-12-01,20267.9,20291.55,20183.7,20194.1,265800
2023-12-04,20686.8,20702.65,20507.75,20601.95,381100
2023-12-05,20855.1,20864.05,20711.15,20808.9,421000
2023-12-06,20937.7,20961.95,20852.15,20950.75,359200
2023-12-07,20901.15,20941.25,20850.8,20932.4,275000
2023-12-08,20969.4,21006.1,20862.7,20934.1,292400
2023-12-11,20997.1,21026.1,20923.7,20965.3,212900
2023-12-12,20906.4,21037.9,20867.15,21018.55,244900
2023-12-13,20926.35,20950.0,20769.5,20929.75,260300
2023-12-14,21182.7,21210.9,21074.45,21110.4,334400
2023-12-15,21456.65,21492.3,21235.3,21287.45,508800
2023-12-18,21418.65,21482.8,21365.35,21434.8,249700
2023-12-19,21453.1,21505.05,21337.75,21477.65,249800
2023-12-20,21150.15,21593.0,21087.35,21543.5,363900
2023-12-21,21255.05,21288.35,20976.8,21033.95,277500
2023-12-22,21349.4,21390.5,21232.45,21295.85,284700
2023-12-26,21441.35,21477.15,21329.45,21365.2,219500
2023-12-27,21654.75,21675.75,21495.8,21497.65,256500
2023-12-28,21778.7,21801.45,21678.0,21715.0,393100
2023-12-29,21731.4,21770.3,21676.9,21737.65,270900
2024-01-01,21741.9,21834.35,21680.85,21727.75,154000
2024-01-02,21665.8,21755.6,21555.65,21751.35,263700
2024-01-03,21517.35,21677.0,21500.35,21661.1,311900
2024-01-04,21658.6,21685.65,21564.55,21605.8,339200
2024-01-05,21710.8,21749.6,21629.2,21705.75,309300
2024-01-08,21513.0,21763.95,21492.9,21747.6,231500
2024-01-09,21544.85,21724.45,21517.85,21653.6,228600
2024-01-10,21618.7,21641.85,21448.65,21529.3,217000
2024-01-11,21647.2,21726.5,21593.75,21688.0,212500
2024-01-12,21894.55,21928.25,21715.15,21773.55,294700
2024-01-15,22097.45,22115.55,21963.55,22053.15,345500
2024-01-16,22032.3,22124.15,21969.8,22080.5,292400
2024-01-17,21571.95,21851.5,21550.45,21647.25,456000
2024-01-18,21462.25,21539.4,21285.55,21414.2,387300
2024-01-19,21622.4,21670.6,21575.0,21615.2,343100
2024-01-23,21238.8,21750.25,21192.6,21716.7,449700
2024-01-24,21453.95,21482.35,21137.2,21185.25,407500
2024-01-25,21352.6,21459.0,21247.05,21454.6,418100
2024-01-29,21737.6,21763.25,21429.6,21433.1,376700
2024-01-30,21522.1,21813.05,21501.8,21775.75,375100
2024-01-31,21725.7,21741.35,21448.85,21487.25,410600
2024-02-01,21697.45,21832.95,21658.75,21780.65,332500
2024-02-02,21853.8,22126.8,21805.55,21812.75,442800
2024-02-05,21771.7,21964.3,21726.95,21921.05,440800
2024-02-06,21929.4,21951.4,21737.55,21825.2,371000
2024-02-07,21930.5,22053.3,21860.15,22045.05,346300
2024-02-08,21717.95,22011.05,21665.3,22009.65,491100
2024-02-09,21782.5,21804.45,21629.9,21727.0,349200
2024-02-12,21616.05,21831.7,21574.75,21800.8,287400
2024-02-13,21743.25,21766.8,21543.35,21664.3,365800
2024-02-14,21840.05,21870.85,21530.2,21578.15,359100
2024-02-15,21910.75,21953.85,21794.8,21906.55,345400
2024-02-16,22040.7,22068.65,21968.95,22020.3,343900
2024-02-19,22122.25,22186.65,22021.05,22103.45,0
2024-02-20,22196.95,22215.6,22045.85,22099.2,295700
2024-02-21,22055.05,22249.4,21997.95,22248.85,364500
2024-02-22,22217.45,22252.5,21875.25,22081.55,343500
2024-02-23,22212.7,22297.5,22186.1,22290.0,226000
2024-02-26,22122.05,22202.15,22075.15,22169.2,207800
2024-02-27,22198.35,22218.25,22085.65,22090.2,252200
2024-02-28,21951.15,22229.15,21915.85,22214.1,203000
2024-02-29,21982.8,22060.55,21860.65,21935.2,360200
2024-03-01,22338.75,22353.3,22047.75,22048.3,351500
2024-03-04,22405.6,22440.9,22358.3,22403.5,298800
2024-03-05,22356.3,22416.9,22269.15,22371.25,296200
2024-03-06,22474.05,22497.2,22224.35,22327.5,312300
2024-03-07,22493.55,22525.65,22430.0,22505.3,379900
2024-03-11,22332.65,22526.6,22307.25,22517.5,277900
2024-03-12,22335.7,22452.55,22256.0,22334.45,299200
2024-03-13,21997.7,22446.75,21905.65,22432.2,493300
2024-03-14,22146.65,22204.6,21917.5,21982.55,426700
2024-03-15,22023.35,22120.9,21931.7,22064.85,661500
2024-03-18,22055.7,22123.7,21916.55,21990.1,356300
2024-03-19,21817.45,21978.3,21793.1,21946.45,344200
2024-03-20,21839.1,21930.9,21710.2,21843.9,312400
2024-03-21,22011.95,22080.95,21941.3,21989.9,353200
2024-03-22,22096.75,22180.7,21883.3,21932.2,388700
2024-03-26,22004.7,22073.2,21947.55,21947.9,328400
2024-03-27,22123.65,22193.6,22052.85,22053.95,409100
2024-03-28,22326.9,22516.0,22163.6,22163.6,410500
2024-04-01,22462.0,22529.95,22427.75,22455.0,0
2024-04-02,22453.3,22497.6,22388.15,22458.8,289500
2024-04-03,22434.65,22521.1,22346.5,22385.7,309600
2024-04-04,22514.65,22619.0,22303.8,22592.1,401000
2024-04-05,22513.7,22537.6,22427.6,22486.4,242200
2024-04-08,22666.3,22697.3,22550.35,22578.35,227600
2024-04-09,22642.75,22768.4,22612.25,22765.1,232400
2024-04-10,22753.8,22775.7,22673.7,22720.25,276800
2024-04-12,22519.4,22726.45,22503.75,22677.4,357200
2024-04-15,22272.5,22427.45,22259.55,22339.05,355500
2024-04-16,22147.9,22213.75,22079.45,22125.3,317300
2024-04-18,21995.85,22326.5,21961.7,22212.35,456900
2024-04-19,22147.0,22179.55,21777.65,21861.5,362500
2024-04-22,22336.4,22375.65,22198.15,22336.9,279300
2024-04-23,22368.0,22447.55,22349.45,22447.05,231500
2024-04-24,22402.4,22476.45,22384.0,22421.55,235900
2024-04-25,22570.35,22625.95,22305.25,22316.9,475000
2024-04-26,22419.95,22620.4,22385.55,22620.4,329900
2024-04-29,22643.4,22655.8,22441.9,22475.55,292000
2024-04-30,22604.85,22783.35,22568.4,22679.65,361900
2024-05-02,22648.2,22710.5,22567.85,22567.85,445900
2024-05-03,22475.85,22794.7,22348.05,22766.35,438100
2024-05-06,22442.7,22588.8,22409.45,22561.6,320300
2024-05-07,22302.5,22499.05,22232.05,22489.75,297800
2024-05-08,22302.5,22368.65,22185.2,22231.2,277400
2024-05-09,21957.5,22307.75,21932.4,22224.8,331300
2024-05-10,22055.2,22131.3,21950.3,21990.95,265800
2024-05-13,22104.05,22131.65,21821.05,22027.95,278200
2024-05-14,22217.85,22270.05,22081.25,22112.9,230200
2024-05-15,22200.55,22297.55,22151.75,22255.6,231900
2024-05-16,22403.85,22432.25,22054.55,22319.2,368900
2024-05-17,22466.1,22502.15,22345.65,22415.25,242700
2024-05-21,22529.05,22591.1,22404.55,22404.55,347600
2024-05-22,22597.8,22629.5,22483.15,22576.6,290300
2024-05-23,22967.65,22993.6,22577.45,22614.1,369800
2024-05-24,22957.1,23026.4,22908.0,22930.75,261900
2024-05-27,22932.45,23110.8,22871.2,23038.95,260000
2024-05-28,22888.15,22998.55,22858.5,22977.15,217900
2024-05-29,22704.7,22825.5,22685.45,22762.75,269900
2024-05-30,22488.65,22705.75,22417.0,22617.45,373400
2024-05-31,22530.7,22653.75,22465.1,22568.1,572100
2024-06-03,23263.9,23338.7,23062.3,23337.9,569400
2024-06-04,21884.5,23179.5,21281.45,23179.5,1006100
2024-06-05,22620.35,22670.4,21791.95,22128.35,638500
2024-06-06,22821.4,22910.15,22642.6,22798.6,480400
2024-06-07,23290.15,23320.2,22789.05,22821.85,473600
2024-06-10,23259.2,23411.9,23227.15,23319.15,304400
2024-06-11,23264.85,23389.45,23206.65,23283.75,305200
2024-06-12,23322.95,23441.95,23295.95,23344.45,295600
2024-06-13,23398.9,23481.05,23353.9,23480.95,268300
2024-06-14,23465.6,23490.4,23334.25,23464.95,223100
2024-06-18,23557.9,23579.05,23499.7,23570.8,272200
2024-06-19,23516.0,23664.0,23412.9,23629.85,328800
2024-06-20,23567.0,23624.0,23442.6,23586.15,280300
